0,1,2
99,1.0,
119,1.0,
230,3.0,1.0
94,6.0,9.0
99,3.0,12.0
117,5.0,10.0
123,13.0,11.0
97,3.0,9.0
166,16.0,7.0
262,26.0,33.0
231,39.0,21.0
240,32.0,16.0
110,2.0,16.0
262,37.0,14.0
249,38.0,16.0
98,4.0,14.0
150,21.0,3.0
164,25.0,3.0
170,28.0,4.0
121,6.0,16.0
139,11.0,9.0
156,17.0,4.0
119,7.0,15.0
113,5.0,13.0
165,19.0,13.0
140,24.0,7.0
163,22.0,6.0
108,5.0,19.0
115,12.0,7.0
108,11.0,13.0
109,1.0,12.0
130,22.0,6.0
176,27.0,4.0
98,2.0,12.0
68,5.0,9.0
130,10.0,5.0
73,4.0,14.0
75,6.0,23.0
76,14.0,3.0
123,6.0,6.0
115,8.0,4.0
116,6.0,6.0
79,15.0,5.0
78,10.0,16.0
79,15.0,2.0
83,11.0,17.0
140,5.0,7.0
70,8.0,12.0
108,8.0,6.0
66,6.0,11.0
60,14.0,10.0
57,10.0,7.0
126,26.0,12.0
58,13.0,7.0
58,13.0,9.0
65,11.0,8.0
55,12.0,8.0
63,11.0,8.0
71,13.0,17.0
61,9.0,8.0
66,9.0,9.0
57,9.0,10.0
58,11.0,12.0
55,8.0,12.0
538,21.0,19.0
201,2.0,9.0
216,7.0,8.0
1560,43.0,70.0
169,5.0,7.0
254,2.0,22.0
238,9.0,10.0
233,6.0,17.0
146,14.0,10.0
117,9.0,10.0
114,10.0,18.0
121,11.0,13.0
124,10.0,23.0
151,16.0,14.0
145,9.0,29.0
128,15.0,10.0
305,26.0,50.0
109,12.0,12.0
140,16.0,17.0
181,9.0,20.0
128,10.0,10.0
138,12.0,30.0
408,79.0,44.0
131,20.0,26.0
160,32.0,33.0
169,36.0,34.0
129,26.0,12.0
184,29.0,23.0
112,22.0,14.0
133,32.0,18.0
151,40.0,10.0
148,17.0,31.0
146,38.0,12.0
147,26.0,24.0
123,24.0,19.0
136,12.0,6.0
168,15.0,72.0
163,10.0,76.0
132,16.0,4.0
152,12.0,73.0
129,8.0,3.0
115,11.0,2.0
108,10.0,7.0
131,14.0,6.0
124,8.0,6.0
247,21.0,16.0
133,9.0,3.0
131,17.0,7.0
115,12.0,8.0
120,21.0,9.0
126,24.0,7.0
157,25.0,11.0
122,25.0,7.0
133,16.0,23.0
148,29.0,8.0
131,16.0,22.0
139,22.0,10.0
153,26.0,5.0
104,16.0,8.0
112,16.0,15.0
121,19.0,6.0
164,23.0,7.0
124,20.0,9.0
159,30.0,10.0
87,24.0,4.0
87,5.0,14.0
116,10.0,39.0
92,3.0,20.0
86,25.0,7.0
84,11.0,4.0
82,19.0,5.0
96,1.0,19.0
88,6.0,22.0
124,3.0,35.0
78,3.0,12.0
142,1.0,36.0
75,13.0,4.0
93,6.0,14.0
82,21.0,2.0
161,23.0,11.0
106,9.0,9.0
175,25.0,32.0
137,14.0,9.0
161,15.0,19.0
143,15.0,8.0
168,27.0,9.0
126,19.0,15.0
188,20.0,17.0
168,21.0,13.0
182,20.0,27.0
134,11.0,13.0
156,28.0,9.0
194,18.0,25.0
122,17.0,16.0
650,43.0,20.0
20,,2.0
