0,1,2
250,27.0,86.0
267,23.0,112.0
276,29.0,96.0
271,29.0,96.0
251,21.0,80.0
283,26.0,97.0
519,36.0,59.0
511,29.0,44.0
477,28.0,43.0
504,30.0,43.0
458,31.0,40.0
490,35.0,54.0
487,21.0,60.0
501,29.0,50.0
492,26.0,62.0
491,19.0,53.0
510,21.0,70.0
499,31.0,58.0
209,24.0,56.0
262,45.0,34.0
171,31.0,69.0
220,33.0,49.0
198,25.0,71.0
205,37.0,62.0
417,24.0,51.0
413,29.0,49.0
473,31.0,49.0
432,32.0,53.0
439,29.0,42.0
420,25.0,50.0
459,8.0,57.0
490,13.0,58.0
513,22.0,68.0
490,13.0,43.0
498,18.0,60.0
244,21.0,34.0
269,22.0,33.0
264,25.0,34.0
564,66.0,54.0
557,53.0,46.0
469,43.0,28.0
411,77.0,41.0
522,88.0,41.0
476,45.0,30.0
603,55.0,256.0
358,10.0,78.0
403,12.0,107.0
394,12.0,87.0
367,8.0,88.0
567,55.0,241.0
417,35.0,56.0
726,121.0,52.0
519,32.0,49.0
489,37.0,59.0
680,114.0,49.0
460,37.0,49.0
283,55.0,44.0
303,68.0,37.0
290,85.0,46.0
276,93.0,37.0
309,77.0,32.0
269,89.0,41.0
624,46.0,62.0
469,58.0,62.0
583,47.0,76.0
532,49.0,64.0
432,19.0,39.0
384,18.0,65.0
439,9.0,75.0
367,16.0,53.0
23106,2468.0,4933.0
13918,1413.0,2737.0
32807,3350.0,7020.0
34412,3758.0,7798.0
271,56.0,104.0
339,61.0,99.0
319,48.0,86.0
290,50.0,103.0
276,63.0,91.0
635,72.0,182.0
229,32.0,169.0
600,77.0,180.0
610,46.0,158.0
141,30.0,76.0
604,68.0,189.0
510,47.0,98.0
626,49.0,79.0
516,49.0,94.0
580,58.0,89.0
643,39.0,88.0
552,49.0,100.0
250,35.0,70.0
251,22.0,65.0
240,41.0,69.0
263,32.0,56.0
264,21.0,65.0
572,16.0,115.0
337,31.0,73.0
517,25.0,121.0
385,29.0,95.0
487,21.0,126.0
1106,45.0,84.0
1736,50.0,123.0
1016,43.0,54.0
800,32.0,49.0
1469,49.0,111.0
1119,33.0,100.0
422,85.0,73.0
474,74.0,95.0
469,80.0,47.0
401,74.0,77.0
468,84.0,74.0
761,98.0,52.0
771,82.0,49.0
691,50.0,35.0
740,45.0,43.0
769,79.0,50.0
687,59.0,44.0
573,22.0,122.0
451,25.0,151.0
439,27.0,126.0
536,31.0,118.0
452,25.0,113.0
459,41.0,97.0
261,35.0,18.0
241,23.0,12.0
261,28.0,13.0
277,31.0,19.0
237,20.0,16.0
274,22.0,19.0
354,52.0,68.0
293,36.0,48.0
328,53.0,61.0
301,38.0,41.0
277,34.0,47.0
366,44.0,85.0
309,33.0,63.0
275,35.0,78.0
242,42.0,69.0
280,34.0,67.0
240,38.0,60.0
293,30.0,54.0
278,49.0,55.0
304,26.0,51.0
239,44.0,69.0
307,43.0,38.0
248,41.0,72.0
1777,41.0,87.0
1962,57.0,127.0
1774,54.0,113.0
1800,34.0,91.0
1764,45.0,107.0
1701,29.0,86.0
1037,83.0,107.0
1001,92.0,122.0
1080,97.0,97.0
997,77.0,111.0
1019,89.0,120.0
1136,79.0,109.0
556,12.0,62.0
518,8.0,50.0
562,18.0,66.0
590,12.0,74.0
480,11.0,40.0
587,11.0,63.0
2682,239.0,341.0
2231,223.0,285.0
3163,253.0,399.0
2607,207.0,336.0
3084,288.0,434.0
2782,206.0,320.0
1778,106.0,167.0
2132,131.0,262.0
1631,126.0,164.0
1395,71.0,123.0
1770,116.0,186.0
1880,113.0,184.0
